team,year,div,conf,w_l_percent,mov,ortg,drtg,nrtg,mov_a,ortg_a,drtg_a,nrtg_a
Toronto Raptors,2001,C,E,0.573,2.26,106.64,104.23,2.41,1.69,106.62,104.83,1.79
Utah Jazz,2001,M,W,0.6459999999999999,4.7,108.36,103.17,5.19,5.0,108.42,102.89,5.53
Washington Wizards,2001,A,E,0.232,-6.67,101.43,108.65,-7.21,-6.75,101.62,108.93,-7.31
Atlanta Hawks,2002,C,E,0.402,-4.23,102.72,107.4,-4.68,-4.41,102.83,107.73,-4.9
Boston Celtics,2002,A,E,0.598,2.21,104.1,101.7,2.4,1.74,103.95,102.08,1.87
Brooklyn Nets,2002,A,E,0.634,4.16,104.78,100.28,4.5,3.67,104.65,100.71,3.94
Charlotte Hornets,2002,C,E,,,,,,,,,
Chicago Bulls,2002,C,E,0.256,-8.54,99.05,108.56,-9.51,-8.52,99.21,108.72,-9.5
Cleveland Cavaliers,2002,C,E,0.354,-3.33,105.41,109.17,-3.76,-3.53,105.63,109.62,-3.99
Dallas Mavericks,2002,M,W,0.695,4.26,112.8,108.22,4.59,4.41,112.91,108.13,4.78
Denver Nuggets,2002,M,W,0.329,-5.82,102.34,108.68,-6.35,-5.19,102.44,108.08,-5.64
Detroit Pistons,2002,C,E,0.61,2.13,105.77,103.43,2.33,1.69,105.63,103.8,1.83
Golden State Warriors,2002,P,W,0.256,-5.4,103.56,109.28,-5.71,-4.8,103.7,108.74,-5.04
Houston Rockets,2002,M,W,0.341,-4.89,103.93,109.55,-5.62,-4.31,104.08,109.03,-4.95
Indiana Pacers,2002,C,E,0.512,0.27,105.09,104.59,0.5,-0.07,105.08,104.98,0.1
Los Angeles Clippers,2002,P,W,0.476,-0.46,106.49,106.87,-0.38,-0.09,106.51,106.47,0.05
Los Angeles Lakers,2002,P,W,0.7070000000000001,7.12,110.29,102.52,7.77,7.15,110.12,102.3,7.82
Memphis Grizzlies,2002,M,W,0.28,-7.44,98.9,107.09,-8.19,-6.74,98.92,106.32,-7.4
Miami Heat,2002,A,E,0.439,-1.54,99.28,101.15,-1.88,-1.85,99.08,101.31,-2.22
Milwaukee Bucks,2002,C,E,0.5,-0.22,107.78,108.0,-0.22,-0.62,107.93,108.6,-0.68
Minnesota Timberwolves,2002,M,W,0.61,3.38,109.79,105.97,3.82,3.58,109.78,105.73,4.05
New Orleans Pelicans,2002,SW,W,0.537,0.96,105.13,104.06,1.07,0.57,105.02,104.4,0.62
New York Knicks,2002,A,E,0.366,-3.99,102.02,106.38,-4.36,-4.15,102.1,106.66,-4.56
Oklahoma City Thunder,2002,NW,W,0.5489999999999999,3.02,109.77,106.3,3.47,3.24,109.78,106.06,3.72
Orlando Magic,2002,A,E,0.537,1.57,107.71,106.04,1.67,1.25,107.88,106.58,1.3
Philadelphia 76ers,2002,A,E,0.524,1.6,103.12,101.42,1.7,1.27,103.02,101.69,1.33
Phoenix Suns,2002,P,W,0.439,-0.68,104.07,104.71,-0.64,-0.3,103.98,104.19,-0.21
Portland Trail Blazers,2002,P,W,0.598,2.99,108.2,104.84,3.36,3.2,108.13,104.52,3.61
