team,year,div,conf,w_l_percent,mov,ortg,drtg,nrtg,mov_a,ortg_a,drtg_a,nrtg_a
Detroit Pistons,2008,C,E,0.72,7.39,112.09,103.64,8.45,6.67,111.76,104.09,7.66
Golden State Warriors,2008,P,W,0.585,2.21,112.46,110.24,2.22,2.38,112.59,110.19,2.39
Houston Rockets,2008,M,W,0.6709999999999999,4.68,107.47,102.17,5.3,4.83,107.3,101.85,5.45
Indiana Pacers,2008,C,E,0.439,-1.4,106.69,108.2,-1.51,-1.86,106.47,108.47,-2.0
Los Angeles Clippers,2008,P,W,0.28,-7.27,101.63,109.76,-8.14,-6.56,101.66,109.05,-7.38
Los Angeles Lakers,2008,P,W,0.695,7.26,113.71,106.08,7.63,7.34,113.72,105.99,7.73
Memphis Grizzlies,2008,M,W,0.268,-6.21,105.44,112.07,-6.62,-5.75,105.72,111.86,-6.14
Miami Heat,2008,A,E,0.183,-8.65,101.13,110.8,-9.68,-8.53,101.12,110.64,-9.52
Milwaukee Bucks,2008,C,E,0.317,-6.89,105.74,113.43,-7.68,-6.91,105.95,113.64,-7.69
Minnesota Timberwolves,2008,M,W,0.268,-6.78,104.42,111.96,-7.54,-6.25,104.62,111.59,-6.97
New Orleans Pelicans,2008,SW,W,0.6829999999999999,5.28,112.21,106.44,5.77,5.46,112.3,106.34,5.96
New York Knicks,2008,A,E,0.28,-6.61,105.34,112.45,-7.11,-6.54,105.54,112.57,-7.03
Oklahoma City Thunder,2008,NW,W,0.244,-8.76,101.17,110.16,-8.99,-8.04,101.3,109.54,-8.24
Orlando Magic,2008,A,E,0.634,5.46,112.12,106.26,5.86,4.79,111.89,106.75,5.14
Philadelphia 76ers,2008,A,E,0.488,0.41,107.38,106.91,0.47,0.19,107.25,107.01,0.24
Phoenix Suns,2008,P,W,0.6709999999999999,5.05,114.04,108.77,5.27,5.14,114.22,108.86,5.36
Portland Trail Blazers,2008,P,W,0.5,-0.98,107.97,109.07,-1.1,-0.52,108.11,108.73,-0.61
Sacramento Kings,2008,P,W,0.463,-2.26,108.25,110.71,-2.45,-1.85,108.48,110.51,-2.03
San Antonio Spurs,2008,M,W,0.6829999999999999,4.79,107.91,102.54,5.37,5.1,107.8,102.11,5.68
Toronto Raptors,2008,C,E,0.5,2.9,111.06,107.46,3.6,2.47,110.99,107.86,3.12
Utah Jazz,2008,M,W,0.659,6.88,114.52,107.05,7.47,6.87,114.6,107.15,7.44
Washington Wizards,2008,A,E,0.524,-0.33,110.03,110.39,-0.36,-0.6,110.06,110.71,-0.65
Atlanta Hawks,2009,C,E,0.573,1.57,110.28,108.43,1.84,1.7,110.49,108.51,1.98
Boston Celtics,2009,A,E,0.7559999999999999,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16
Brooklyn Nets,2009,A,E,0.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56
Charlotte Hornets,2009,C,E,0.4270000000000001,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.5
Chicago Bulls,2009,C,E,0.5,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09
Cleveland Cavaliers,2009,C,E,0.805,8.93,113.29,103.2,10.09,8.68,113.18,103.37,9.8
Dallas Mavericks,2009,M,W,0.61,1.98,111.2,109.14,2.06,1.68,111.03,109.29,1.74
Denver Nuggets,2009,M,W,0.659,3.41,111.03,107.68,3.35,3.13,110.83,107.78,3.05
Detroit Pistons,2009,C,E,0.476,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44
Golden State Warriors,2009,P,W,0.354,-3.74,109.94,113.76,-3.82,-3.8,109.98,113.86,-3.89
Houston Rockets,2009,M,W,0.6459999999999999,4.0,109.22,104.67,4.55,3.73,108.94,104.69,4.25
Indiana Pacers,2009,C,E,0.439,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73
Los Angeles Clippers,2009,P,W,0.232,-8.77,102.87,112.52,-9.65,-8.46,102.84,112.16,-9.31
Los Angeles Lakers,2009,P,W,0.7929999999999999,7.66,113.43,105.29,8.14,7.11,113.0,105.45,7.55
Memphis Grizzlies,2009,M,W,0.293,-5.46,104.51,110.62,-6.12,-5.22,104.48,110.33,-5.84
Miami Heat,2009,A,E,0.524,0.26,108.34,108.28,0.06,0.49,108.56,108.24,0.32
Milwaukee Bucks,2009,C,E,0.415,-1.09,107.44,108.61,-1.18,-0.87,107.6,108.54,-0.94
Minnesota Timberwolves,2009,M,W,0.293,-4.91,106.75,112.18,-5.43,-4.74,106.78,112.0,-5.23
New Orleans Pelicans,2009,SW,W,0.598,1.55,109.75,108.07,1.68,1.41,109.6,108.07,1.53
New York Knicks,2009,A,E,0.39,-2.61,108.7,111.41,-2.71,-2.33,109.03,111.44,-2.41
Oklahoma City Thunder,2009,NW,W,0.28,-6.1,103.59,110.06,-6.47,-6.03,103.41,109.82,-6.41
Orlando Magic,2009,A,E,0.72,6.7,109.66,102.58,7.08,6.49,109.52,102.66,6.86
Philadelphia 76ers,2009,A,E,0.5,0.07,108.79,108.79,0.0,0.16,108.89,108.79,0.1
Phoenix Suns,2009,P,W,0.561,1.93,114.2,112.3,1.89,1.62,114.12,112.55,1.57
Portland Trail Blazers,2009,P,W,0.659,5.34,114.74,108.68,6.06,5.0,114.62,108.94,5.67
Sacramento Kings,2009,P,W,0.207,-8.76,106.3,115.64,-9.34,-8.59,106.32,115.5,-9.18
San Antonio Spurs,2009,M,W,0.659,3.76,109.18,105.01,4.17,3.36,108.79,105.05,3.74
Toronto Raptors,2009,C,E,0.402,-2.82,107.72,110.69,-2.97,-2.53,107.99,110.66,-2.66
Utah Jazz,2009,M,W,0.585,2.65,110.84,107.89,2.96,2.31,110.52,107.93,2.59
Washington Wizards,2009,A,E,0.232,-7.46,105.98,114.23,-8.26,-6.98,106.39,114.11,-7.73
Atlanta Hawks,2010,C,E,0.6459999999999999,4.66,112.6,107.6,5.0,4.44,112.67,107.91,4.77
Boston Celtics,2010,A,E,0.61,3.66,108.65,104.62,4.03,3.37,108.5,104.79,3.72
Brooklyn Nets,2010,A,E,0.146,-9.12,101.54,111.56,-10.02,-8.93,101.75,111.54,-9.79
Charlotte Hornets,2010,C,E,0.537,1.46,105.26,103.87,1.39,1.3,105.2,103.97,1.22
Chicago Bulls,2010,C,E,0.5,-1.63,104.24,106.03,-1.79,-1.63,104.29,106.08,-1.79
Cleveland Cavaliers,2010,C,E,0.7440000000000001,6.52,112.27,105.07,7.21,6.17,112.29,105.47,6.82
Dallas Mavericks,2010,M,W,0.6709999999999999,2.72,110.0,107.17,2.84,2.67,109.88,107.09,2.79
Denver Nuggets,2010,M,W,0.6459999999999999,4.09,112.32,108.21,4.11,4.15,112.26,108.06,4.2
Detroit Pistons,2010,C,E,0.329,-5.11,106.6,112.41,-5.82,-5.02,106.78,112.48,-5.7
Golden State Warriors,2010,P,W,0.317,-3.6,108.7,112.31,-3.61,-3.28,108.77,112.05,-3.28
Houston Rockets,2010,M,W,0.512,-0.37,108.37,108.79,-0.42,-0.01,108.4,108.45,-0.04
Indiana Pacers,2010,C,E,0.39,-3.01,104.6,107.64,-3.04,-3.1,104.58,107.73,-3.14
Los Angeles Clippers,2010,P,W,0.354,-6.35,104.07,111.02,-6.95,-6.01,104.04,110.61,-6.57
Los Angeles Lakers,2010,P,W,0.695,4.72,109.51,104.57,4.93,4.78,109.32,104.32,5.0
Memphis Grizzlies,2010,M,W,0.488,-1.51,109.07,110.71,-1.64,-1.38,109.0,110.49,-1.49
Miami Heat,2010,A,E,0.573,2.28,107.63,105.06,2.57,2.0,107.58,105.32,2.26
Milwaukee Bucks,2010,C,E,0.561,1.7,105.74,103.81,1.94,1.38,105.68,104.09,1.59
Minnesota Timberwolves,2010,M,W,0.183,-9.6,102.34,112.31,-9.97,-9.06,102.38,111.78,-9.4
New Orleans Pelicans,2010,SW,W,0.451,-2.46,108.19,110.92,-2.73,-2.26,108.15,110.67,-2.52
New York Knicks,2010,A,E,0.354,-3.82,108.22,112.2,-3.98,-4.01,108.33,112.52,-4.19
Oklahoma City Thunder,2010,NW,W,0.61,3.49,109.18,105.43,3.75,3.55,109.06,105.23,3.82
Orlando Magic,2010,A,E,0.72,7.49,112.13,104.0,8.13,7.12,112.02,104.28,7.73
Philadelphia 76ers,2010,A,E,0.329,-3.9,106.93,111.35,-4.42,-3.93,107.15,111.58,-4.43
Phoenix Suns,2010,P,W,0.659,4.9,116.11,110.94,5.16,4.68,116.06,111.13,4.93
Portland Trail Blazers,2010,P,W,0.61,3.3,111.91,108.02,3.88,3.18,111.78,108.04,3.74
Sacramento Kings,2010,P,W,0.305,-4.37,106.05,110.82,-4.76,-4.06,106.09,110.52,-4.42
San Antonio Spurs,2010,M,W,0.61,5.09,110.61,105.17,5.44,5.07,110.49,105.07,5.42
Toronto Raptors,2010,C,E,0.488,-1.78,112.19,113.89,-1.69,-1.83,112.45,114.2,-1.75
Utah Jazz,2010,M,W,0.6459999999999999,5.34,111.57,105.81,5.76,5.33,111.44,105.69,5.75
Washington Wizards,2010,A,E,0.317,-4.78,105.11,110.41,-5.3,-4.72,105.34,110.57,-5.23
Atlanta Hawks,2011,C,E,0.537,-0.82,107.01,107.96,-0.95,-1.1,107.03,108.29,-1.26
Boston Celtics,2011,A,E,0.6829999999999999,5.37,107.36,101.46,5.9,4.83,107.03,101.73,5.3
Brooklyn Nets,2011,A,E,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99
Charlotte Hornets,2011,C,E,0.415,-4.0,104.32,108.92,-4.6,-4.08,104.43,109.11,-4.67
Chicago Bulls,2011,C,E,0.7559999999999999,7.32,109.3,101.07,8.23,6.53,109.02,101.65,7.37
Cleveland Cavaliers,2011,C,E,0.232,-9.01,102.74,112.56,-9.81,-8.88,103.02,112.69,-9.67
Dallas Mavericks,2011,M,W,0.695,4.23,110.24,105.76,4.49,4.41,110.08,105.4,4.68
Denver Nuggets,2011,M,W,0.61,4.76,112.84,108.03,4.82,4.81,112.73,107.84,4.89
Detroit Pistons,2011,C,E,0.366,-3.6,108.37,112.5,-4.13,-3.78,108.65,112.98,-4.33
Golden State Warriors,2011,P,W,0.439,-2.33,108.96,111.39,-2.43,-2.0,109.0,111.08,-2.08
Houston Rockets,2011,M,W,0.524,2.18,112.02,109.67,2.35,2.37,112.07,109.51,2.56
Indiana Pacers,2011,C,E,0.451,-1.07,105.53,106.73,-1.2,-1.37,105.54,107.07,-1.53
Los Angeles Clippers,2011,P,W,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08
Los Angeles Lakers,2011,P,W,0.695,6.11,111.61,105.0,6.61,6.01,111.4,104.89,6.51
Memphis Grizzlies,2011,M,W,0.561,2.34,108.52,105.98,2.55,2.55,108.42,105.65,2.77
Miami Heat,2011,A,E,0.7070000000000001,7.46,112.62,104.35,8.27,6.76,112.43,104.94,7.49
Milwaukee Bucks,2011,C,E,0.4270000000000001,-0.84,102.47,103.46,-1.0,-1.01,102.29,103.48,-1.18
Minnesota Timberwolves,2011,M,W,0.207,-6.63,104.84,111.69,-6.85,-5.97,104.93,111.07,-6.15
New Orleans Pelicans,2011,SW,W,0.561,0.89,107.25,106.19,1.06,1.28,107.18,105.7,1.48
New York Knicks,2011,A,E,0.512,0.78,111.76,110.92,0.84,0.48,112.0,111.48,0.51
Oklahoma City Thunder,2011,NW,W,0.6709999999999999,3.79,112.2,108.06,4.14,3.81,112.09,107.93,4.16
Orlando Magic,2011,A,E,0.634,5.46,108.78,102.87,5.91,4.92,108.63,103.31,5.32
Philadelphia 76ers,2011,A,E,0.5,1.5,107.62,106.02,1.6,1.01,107.55,106.48,1.07
Phoenix Suns,2011,P,W,0.488,-0.89,110.2,111.15,-0.94,-0.46,110.35,110.83,-0.47
Portland Trail Blazers,2011,P,W,0.585,1.52,109.78,107.93,1.85,1.85,109.73,107.54,2.19
Sacramento Kings,2011,P,W,0.293,-5.34,104.18,109.82,-5.65,-4.8,104.16,109.24,-5.07
San Antonio Spurs,2011,M,W,0.7440000000000001,5.71,112.31,106.23,6.07,5.86,112.22,105.97,6.25
Toronto Raptors,2011,C,E,0.268,-6.28,106.85,113.57,-6.72,-6.28,107.17,113.88,-6.72
Utah Jazz,2011,M,W,0.476,-1.83,108.95,111.05,-2.1,-1.44,109.08,110.75,-1.67
Washington Wizards,2011,A,E,0.28,-7.4,103.12,110.93,-7.81,-7.3,103.39,111.09,-7.71
Atlanta Hawks,2012,C,E,0.606,3.44,105.74,102.04,3.7,2.67,105.57,102.72,2.85
Boston Celtics,2012,A,E,0.591,2.52,102.12,99.34,2.78,2.26,102.19,99.69,2.5
Brooklyn Nets,2012,A,E,0.333,-5.98,103.77,110.52,-6.75,-6.37,103.99,111.17,-7.18
Charlotte Hornets,2012,C,E,0.106,-13.91,95.85,111.26,-15.41,-13.96,96.12,111.59,-15.46
Chicago Bulls,2012,C,E,0.758,8.18,108.22,98.89,9.33,7.43,108.21,99.72,8.49
Cleveland Cavaliers,2012,C,E,0.318,-7.2,101.86,109.78,-7.92,-7.34,102.06,110.14,-8.08
Dallas Mavericks,2012,M,W,0.545,0.95,104.08,103.01,1.07,1.78,104.04,102.07,1.97
Denver Nuggets,2012,M,W,0.5760000000000001,2.88,109.95,106.97,2.99,3.16,109.94,106.63,3.31
Detroit Pistons,2012,C,E,0.379,-4.79,102.13,107.48,-5.35,-5.18,102.33,108.11,-5.78
Golden State Warriors,2012,P,W,0.348,-3.41,105.97,109.66,-3.69,-2.79,106.0,109.01,-3.01
Houston Rockets,2012,M,W,0.515,0.23,106.42,106.11,0.31,0.57,106.27,105.58,0.69
Indiana Pacers,2012,C,E,0.636,3.3,107.63,103.94,3.69,2.59,107.68,104.77,2.91
Los Angeles Clippers,2012,P,W,0.606,2.56,109.49,106.69,2.8,2.82,109.26,106.18,3.09
Los Angeles Lakers,2012,P,W,0.621,1.42,106.62,105.07,1.55,1.96,106.6,104.45,2.15
Memphis Grizzlies,2012,M,W,0.621,2.02,104.81,102.57,2.24,2.43,104.59,101.89,2.7
Miami Heat,2012,A,E,0.6970000000000001,5.98,107.66,101.1,6.56,5.72,107.97,101.71,6.26
Milwaukee Bucks,2012,C,E,0.47,0.27,106.07,105.73,0.34,-0.23,106.13,106.34,-0.21
Minnesota Timberwolves,2012,M,W,0.394,-2.2,104.85,107.0,-2.15,-1.83,104.65,106.4,-1.75
New Orleans Pelicans,2012,SW,W,0.318,-3.76,101.82,105.98,-4.16,-3.11,101.68,105.11,-3.44
New York Knicks,2012,A,E,0.545,3.2,105.51,101.86,3.64,2.39,105.45,102.7,2.75
Oklahoma City Thunder,2012,NW,W,0.7120000000000001,6.12,110.33,103.77,6.56,6.44,110.3,103.37,6.93
Orlando Magic,2012,A,E,0.561,0.79,105.65,104.87,0.78,0.46,105.77,105.36,0.41
Philadelphia 76ers,2012,A,E,0.53,4.24,104.7,100.0,4.7,3.59,104.42,100.45,3.97
Phoenix Suns,2012,P,W,0.5,-0.24,106.96,107.1,-0.13,0.29,106.96,106.52,0.45
Portland Trail Blazers,2012,P,W,0.424,-0.62,106.56,107.24,-0.69,-0.21,106.4,106.64,-0.24
Sacramento Kings,2012,P,W,0.333,-5.68,104.46,110.43,-5.98,-4.95,104.59,109.76,-5.17
San Antonio Spurs,2012,M,W,0.758,7.17,111.45,103.83,7.62,7.28,111.35,103.6,7.75
Toronto Raptors,2012,C,E,0.348,-3.3,101.57,105.32,-3.74,-3.67,101.68,105.83,-4.14
Utah Jazz,2012,M,W,0.545,0.62,107.51,106.91,0.6,0.92,107.34,106.4,0.94
Washington Wizards,2012,A,E,0.303,-4.8,101.75,107.03,-5.28,-5.14,101.95,107.61,-5.66
Atlanta Hawks,2013,C,E,0.537,0.4,105.5,105.14,0.37,-0.07,105.39,105.54,-0.15
Boston Celtics,2013,A,E,0.506,-0.22,104.07,104.4,-0.32,-0.62,103.77,104.51,-0.75
Brooklyn Nets,2013,A,E,0.598,1.78,109.1,107.14,1.96,1.25,109.1,107.71,1.39
Charlotte Hornets,2013,C,E,0.256,-9.23,102.34,112.51,-10.17,-9.29,102.59,112.82,-10.23
Chicago Bulls,2013,C,E,0.5489999999999999,0.32,104.23,103.87,0.36,-0.01,104.09,104.1,0.0
Cleveland Cavaliers,2013,C,E,0.293,-4.68,105.09,110.16,-5.07,-4.87,105.24,110.52,-5.28
Dallas Mavericks,2013,M,W,0.5,-0.6,106.66,107.14,-0.48,-0.24,106.74,106.82,-0.09
Denver Nuggets,2013,M,W,0.695,5.09,111.23,105.97,5.26,5.37,111.34,105.76,5.58
Detroit Pistons,2013,C,E,0.354,-3.99,104.57,109.03,-4.46,-4.32,104.56,109.37,-4.82
Golden State Warriors,2013,P,W,0.573,0.89,107.1,106.04,1.06,1.32,107.13,105.61,1.52
Houston Rockets,2013,M,W,0.5489999999999999,3.48,110.42,106.67,3.75,3.69,110.51,106.52,3.99
Indiana Pacers,2013,C,E,0.605,4.02,104.87,100.54,4.33,3.34,104.48,100.89,3.59
Los Angeles Clippers,2013,P,W,0.6829999999999999,6.45,111.62,104.47,7.16,6.43,111.58,104.44,7.13
Los Angeles Lakers,2013,P,W,0.5489999999999999,1.16,108.49,107.23,1.27,1.48,108.48,106.86,1.62
Memphis Grizzlies,2013,M,W,0.6829999999999999,4.15,105.95,101.22,4.74,4.33,105.72,100.79,4.93
Miami Heat,2013,A,E,0.805,7.87,113.43,104.77,8.67,7.03,113.28,105.53,7.75
Milwaukee Bucks,2013,C,E,0.463,-1.5,104.28,106.02,-1.74,-1.82,104.2,106.29,-2.09
Minnesota Timberwolves,2013,M,W,0.378,-2.37,103.61,106.23,-2.63,-1.83,103.66,105.7,-2.04
New Orleans Pelicans,2013,SW,W,0.329,-3.87,106.63,110.97,-4.34,-3.11,107.03,110.54,-3.51
New York Knicks,2013,A,E,0.659,4.23,111.83,106.92,4.91,3.73,111.88,107.53,4.35
Oklahoma City Thunder,2013,NW,W,0.732,9.21,113.3,103.35,9.95,9.15,113.21,103.33,9.89
Orlando Magic,2013,A,E,0.244,-6.99,102.09,109.79,-7.7,-7.12,102.05,109.89,-7.84
Philadelphia 76ers,2013,A,E,0.415,-3.34,102.69,106.37,-3.68,-3.51,102.59,106.45,-3.86
Phoenix Suns,2013,P,W,0.305,-6.46,102.0,108.82,-6.82,-5.75,102.2,108.24,-6.04
Portland Trail Blazers,2013,P,W,0.402,-3.17,106.21,109.77,-3.56,-2.52,106.45,109.3,-2.85
Sacramento Kings,2013,P,W,0.341,-4.88,106.85,112.16,-5.3,-4.25,107.21,111.83,-4.62
San Antonio Spurs,2013,M,W,0.7070000000000001,6.4,109.11,102.26,6.85,6.67,109.05,101.9,7.14
Toronto Raptors,2013,C,E,0.415,-1.48,106.58,107.98,-1.4,-1.95,106.51,108.45,-1.93
Utah Jazz,2013,M,W,0.524,-0.09,107.42,107.5,-0.08,0.3,107.49,107.15,0.34
Washington Wizards,2013,A,E,0.354,-2.54,100.78,103.61,-2.82,-2.78,100.56,103.64,-3.09
Atlanta Hawks,2014,C,E,0.463,-0.48,106.71,107.26,-0.56,-0.88,106.74,107.71,-0.97
Boston Celtics,2014,A,E,0.305,-4.46,103.82,108.63,-4.81,-4.98,103.69,109.03,-5.34
Brooklyn Nets,2014,A,E,0.537,-1.0,107.42,108.63,-1.21,-1.58,107.36,109.16,-1.8
Charlotte Hornets,2014,C,E,0.524,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99
Chicago Bulls,2014,C,E,0.585,1.85,103.49,101.4,2.09,1.19,103.12,101.72,1.4
Cleveland Cavaliers,2014,C,E,0.402,-3.29,104.95,108.52,-3.56,-3.86,104.92,109.07,-4.16
Dallas Mavericks,2014,M,W,0.598,2.4,111.95,109.24,2.71,2.9,112.16,108.95,3.21
Denver Nuggets,2014,M,W,0.439,-2.15,106.59,108.79,-2.2,-1.4,106.75,108.17,-1.43
Detroit Pistons,2014,C,E,0.354,-3.66,106.6,110.51,-3.92,-4.14,106.66,111.07,-4.41
Golden State Warriors,2014,P,W,0.622,4.8,108.05,103.07,4.98,5.15,107.93,102.59,5.34
Houston Rockets,2014,M,W,0.659,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17
Indiana Pacers,2014,C,E,0.6829999999999999,4.4,104.7,100.05,4.65,3.63,104.25,100.42,3.83
Los Angeles Clippers,2014,P,W,0.695,6.98,112.89,105.64,7.25,7.27,112.88,105.33,7.56
Los Angeles Lakers,2014,P,W,0.329,-6.29,104.89,111.01,-6.13,-5.33,105.23,110.38,-5.15
Memphis Grizzlies,2014,M,W,0.61,1.57,107.12,105.47,1.66,2.17,107.18,104.89,2.29
Miami Heat,2014,A,E,0.659,4.76,112.13,106.75,5.38,4.15,112.15,107.42,4.73
Milwaukee Bucks,2014,C,E,0.183,-8.18,103.67,112.67,-9.0,-8.41,103.88,113.1,-9.23
Minnesota Timberwolves,2014,M,W,0.488,2.67,109.41,106.7,2.7,3.1,109.4,106.25,3.15
New Orleans Pelicans,2014,SW,W,0.415,-2.71,107.98,110.9,-2.92,-1.98,108.18,110.35,-2.16
New York Knicks,2014,A,E,0.451,-0.79,109.27,109.97,-0.7,-1.4,109.25,110.58,-1.33
Oklahoma City Thunder,2014,NW,W,0.72,6.34,111.32,104.6,6.71,6.65,111.29,104.26,7.04
Orlando Magic,2014,A,E,0.28,-5.44,102.14,108.1,-5.96,-5.88,102.06,108.48,-6.41
Philadelphia 76ers,2014,A,E,0.232,-10.45,100.09,110.53,-10.44,-10.66,100.11,110.79,-10.68
Phoenix Suns,2014,P,W,0.585,2.63,110.26,107.54,2.72,3.02,110.35,107.23,3.12
Portland Trail Blazers,2014,P,W,0.659,3.99,112.03,107.8,4.22,4.43,112.17,107.49,4.68
Sacramento Kings,2014,P,W,0.341,-2.9,106.22,109.46,-3.24,-2.08,106.39,108.77,-2.37
San Antonio Spurs,2014,M,W,0.7559999999999999,7.72,111.09,102.93,8.16,7.99,110.98,102.53,8.45
Toronto Raptors,2014,C,E,0.585,3.24,109.77,106.15,3.62,2.55,109.65,106.76,2.89
Utah Jazz,2014,M,W,0.305,-7.17,104.15,112.0,-7.85,-6.27,104.43,111.32,-6.89
Washington Wizards,2014,A,E,0.537,1.27,106.75,105.45,1.3,0.47,106.46,105.99,0.47
Atlanta Hawks,2015,C,E,0.732,5.43,110.0,103.98,6.02,4.75,109.85,104.56,5.29
Boston Celtics,2015,A,E,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44
Brooklyn Nets,2015,A,E,0.463,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31
Charlotte Hornets,2015,C,E,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79
Chicago Bulls,2015,C,E,0.61,3.0,108.48,105.11,3.37,2.54,108.42,105.53,2.88
Cleveland Cavaliers,2015,C,E,0.6459999999999999,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39
Dallas Mavericks,2015,M,W,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64
Denver Nuggets,2015,M,W,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07
Detroit Pistons,2015,C,E,0.39,-1.0,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54
Golden State Warriors,2015,P,W,0.8170000000000001,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23
Houston Rockets,2015,M,W,0.6829999999999999,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01
Indiana Pacers,2015,C,E,0.463,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14
Los Angeles Clippers,2015,P,W,0.6829999999999999,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21
Los Angeles Lakers,2015,P,W,0.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.9,-6.65
Memphis Grizzlies,2015,M,W,0.6709999999999999,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94
Miami Heat,2015,A,E,0.451,-2.6,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37
Milwaukee Bucks,2015,C,E,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16
Minnesota Timberwolves,2015,M,W,0.195,-8.79,103.63,112.98,-9.36,-8.0,103.98,112.5,-8.52
New Orleans Pelicans,2015,SW,W,0.5489999999999999,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16
New York Knicks,2015,A,E,0.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.3
Oklahoma City Thunder,2015,NW,W,0.5489999999999999,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54
Orlando Magic,2015,A,E,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23
Philadelphia 76ers,2015,A,E,0.22,-8.98,96.4,105.7,-9.31,-9.04,96.3,105.67,-9.38
Phoenix Suns,2015,P,W,0.476,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37
Portland Trail Blazers,2015,P,W,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69
Sacramento Kings,2015,P,W,0.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27
San Antonio Spurs,2015,M,W,0.6709999999999999,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79
Toronto Raptors,2015,C,E,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72
Utah Jazz,2015,M,W,0.463,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79
Washington Wizards,2015,A,E,0.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25
Atlanta Hawks,2016,C,E,0.585,3.61,105.75,102.0,3.75,3.49,105.74,102.12,3.62
Boston Celtics,2016,A,E,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81
Brooklyn Nets,2016,A,E,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61
Charlotte Hornets,2016,C,E,0.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34
Chicago Bulls,2016,C,E,0.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42
Cleveland Cavaliers,2016,C,E,0.695,5.99,111.8,105.32,6.48,5.44,111.75,105.85,5.9
Dallas Mavericks,2016,M,W,0.512,-0.3,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11
Denver Nuggets,2016,M,W,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94
Detroit Pistons,2016,C,E,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4
Golden State Warriors,2016,P,W,0.89,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49
Houston Rockets,2016,M,W,0.5,0.2,109.23,109.1,0.13,0.34,109.26,108.96,0.3
Indiana Pacers,2016,C,E,0.5489999999999999,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68
Los Angeles Clippers,2016,P,W,0.6459999999999999,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31
Los Angeles Lakers,2016,P,W,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43
Memphis Grizzlies,2016,M,W,0.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22
Miami Heat,2016,A,E,0.585,1.65,107.01,105.34,1.67,1.5,107.08,105.56,1.52
Milwaukee Bucks,2016,C,E,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37
Minnesota Timberwolves,2016,M,W,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68
New Orleans Pelicans,2016,SW,W,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63
